sku,title,shopify,amazon,etsy,google,notes
276_MINI_COL1_,Handmade Miniature wooden Pallets,draft,,,no,draft; etsy: no connector
004_CUP_PALLETS_,Handmade Wooden Cup Coaster Pallets (set of 5),draft,B07MZ5KPFV,,no,"draft; amazon match likely, verify; etsy: no connector"
152_HEAD_GR_H_,Headphone Holder Metal and Wood combination,active,,,yes,NO AMAZON LISTING FOUND; etsy: no connector
145_MIRR_10_,"Hexagon Wall Art, Wall Mosaic",active,B08ZSVTWGX,,yes,etsy: no connector
67_HEXA_LIGH_,Hexagonal coasters for glass cups,draft,,,no,draft; etsy: no connector
205_CURL_WHNA_,Indoor curling game made of wood,active,,,yes,NO AMAZON LISTING FOUND; etsy: no connector
179_JEWE_RED_,Jewelry display storage organizer (Waves),active,B0929DJFHB,,yes,"amazon match likely, verify; etsy: no connector"
178_JEWE_WHIT_,Jewelry display storage organizer stand (zigzag),active,B08ZVJ9S7N,,yes,"amazon match likely, verify; etsy: no connector"
179_LIN_WHIT_,Jewelry storage holder (Lines),active,B08ZVJ9S7N,,yes,"amazon match likely, verify; etsy: no connector"
115_TOY _WHIT_,Kids toy storage box (Bus),active,B09J564TDG,,yes,etsy: no connector
115_TOY _YELL_,Kids toy storage box (School Bus),active,B09J564TDG,,yes,etsy: no connector
,Kids Wooden Bookshelves CAPSULE,active,,,yes,no sku in shopify; NO AMAZON LISTING FOUND; etsy: no connector
,Kids wooden chair and table,draft,,,no,draft; no sku in shopify; etsy: no connector
,Kitchen Utensil holder beige,draft,B08ZVJ9S7N,,no,"draft; no sku in shopify; amazon match likely, verify; etsy: no connector"
24_META_A_,"Kitchen utensil holder boxes, Cutlery Organizers",active,,,yes,NO AMAZON LISTING FOUND; etsy: no connector
,Kitchen Utensil holder hexagonal,draft,B08ZVJ9S7N,,no,"draft; no sku in shopify; amazon match likely, verify; etsy: no connector"
3_UTEN_RUST_,"Kitchen Utensil Holder, Kitchen Tableware Organizer (Rusted)",active,,,yes,NO AMAZON LISTING FOUND; etsy: no connector
3_UTEN_META_,"Kitchen Utensil Holder, Metal Utensil Organizer",active,B0929DJFHB,,yes,"amazon match likely, verify; etsy: no connector"
140_KNIF_YELL_,Knife Block (Colorful),active,B08ZVJ9S7N,,yes,etsy: no connector
292_KNIF_SILV_,Knife Display Stand (Luxury Color),active,B08ZVJ9S7N,,yes,etsy: no connector
292_KNIF_SILV_,Knife Holder Stand,active,B08ZVJ9S7N,,yes,etsy: no connector
85_KNIF_LARG_,Knife storage stand,active,B08ZVJ9S7N,,yes,etsy: no connector
209_LED __,Light erase board,draft,,,no,draft; etsy: no connector
003_USB_L_BLUE_GR_,Linen Print & USB Flash Drive Box (USB not included),draft,,,no,draft; etsy: no connector
368_LIVI_WALN_,Living Room Table,active,,,yes,NO AMAZON LISTING FOUND; etsy: no connector
87_MAGN_DARK_,Magnetic Key holder,active,,,yes,NO AMAZON LISTING FOUND; etsy: no connector
85_KNIF_LARG_,Metal and wood kitchen knife holder,active,B08ZVJ9S7N,,yes,etsy: no connector
324_META_WHIT_,Metal Bookshelves for Nursery - BUS,active,,,yes,NO AMAZON LISTING FOUND; etsy: no connector
,Metal Bookshelves for Nursery - CLOUD,active,,,yes,no sku in shopify; NO AMAZON LISTING FOUND; etsy: no connector
313_META_WHIT_,Metal Bookshelves for Nursery/ Kids Room,active,B09QSPXRD3,,yes,"amazon match likely, verify; etsy: no connector"
282_META_TZDB_,Metal Corner Shelves (set of 2),active,,,yes,NO AMAZON LISTING FOUND; etsy: no connector
295_META_BLAC_,Metal Corner Shelves Diamond (Set of 2),active,,,yes,NO AMAZON LISTING FOUND; etsy: no connector
156_META_WHIT_,Metal floating wall shelf for plants,active,B0FDL26QRZ,,yes,etsy: no connector
68_BOWL_ST1B_,Metal fruit bowl,active,B092DM6RRQ,,yes,etsy: no connector
,Metal Shoe Rack CAVALLO,active,,,yes,no sku in shopify; NO AMAZON LISTING FOUND; etsy: no connector
271_META__,Metal Towel Holder Horizontal,active,B07T2D1T65,,yes,etsy: no connector
73_TOWE__,Metal towel rack,active,,,yes,NO AMAZON LISTING FOUND; etsy: no connector
80_SHEL__,Metal wall hanging shelf of brass,active,B098P9RTQM,,yes,etsy: no connector
41_HANG__,"Metal wall hooks Circle, Modern hangers for bathroom",active,B07Q8XGXKM,,yes,etsy: no connector
189_META_WHIT_,Metal Wall Shelf FACE,active,,,yes,NO AMAZON LISTING FOUND; etsy: no connector
293_META_BLAC_,Metal Wall Shelf Perforated Display,active,B0FDL26QRZ,,yes,etsy: no connector
